0.00,42.00,49.00,56.00,49.00,6.50,-0.50,6.50,-3.50 
0.05,42.05,49.00,55.95,49.00,4.50,3.00,66.00,3.50 
0.10,42.10,49.00,55.90,49.00,5.00,3.00,66.00,4.00 
0.15,42.15,49.00,55.85,49.00,5.50,3.00,66.00,4.50 
0.20,42.20,49.00,55.80,49.00,6.00,3.00,66.00,5.00 
0.25,42.25,49.00,55.75,49.00,6.50,3.00,66.00,5.50 
0.30,42.30,49.00,55.70,49.00,7.00,3.00,66.00,6.00 
0.35,42.35,49.00,55.65,49.00,7.50,3.00,66.00,6.50 
0.40,42.40,49.00,55.60,49.00,8.00,3.00,66.00,7.00 
0.45,42.45,49.00,55.55,49.00,8.50,3.00,66.00,7.50 
0.50,42.50,49.00,55.50,49.00,9.00,3.00,66.00,8.00 
0.55,42.55,49.00,55.45,49.00,9.50,3.00,66.00,8.50 
0.60,42.60,49.00,55.40,49.00,10.00,3.00,66.00,9.00 
0.65,42.65,49.00,55.35,49.00,10.50,3.00,66.00,9.50 
0.70,42.70,49.00,55.30,49.00,11.00,3.00,66.00,10.00 
0.75,42.75,49.00,55.25,49.00,11.50,3.00,66.00,10.50 
0.80,42.80,49.00,55.20,49.00,12.00,3.00,66.00,11.00 
0.85,42.85,49.00,55.15,49.00,12.50,3.00,66.00,11.50 
0.90,42.90,49.00,55.10,49.00,13.00,3.00,66.00,12.00 
0.95,42.95,49.00,55.05,49.00,13.50,3.00,66.00,12.50 
1.00,43.00,49.00,55.00,49.00,14.00,3.00,66.00,13.00 
1.05,43.05,49.00,54.95,49.00,14.50,3.00,66.00,13.50 
1.10,43.10,49.00,54.90,49.00,15.00,3.00,66.00,14.00 
1.15,43.15,49.00,54.85,49.00,15.50,3.00,66.00,14.50 
1.20,43.20,49.00,54.80,49.00,16.00,3.00,66.00,15.00 
1.25,43.25,49.00,54.75,49.00,16.50,3.00,66.00,15.50 
1.30,43.30,49.00,54.70,49.00,17.00,3.00,66.00,16.00 
1.35,43.35,49.00,54.65,49.00,17.50,3.00,66.00,16.50 
1.40,43.40,49.00,54.60,49.00,18.00,3.00,66.00,17.00 
1.45,43.45,49.00,54.55,49.00,18.50,3.00,66.00,17.50 
1.50,43.50,49.00,54.50,49.00,19.00,3.00,66.00,18.00 
1.55,43.55,49.00,54.45,49.00,19.50,3.00,66.00,18.50 
1.60,43.60,49.00,54.40,49.00,20.00,3.00,66.00,19.00 
1.65,43.65,49.00,54.35,49.00,20.50,3.00,66.00,19.50 
1.70,43.70,49.00,54.30,49.00,21.00,3.00,66.00,20.00 
1.75,43.75,49.00,54.25,49.00,21.50,3.00,66.00,20.50 
1.80,43.80,49.00,54.20,49.00,22.00,3.00,66.00,21.00 
1.85,43.85,49.00,54.15,49.00,22.50,3.00,66.00,21.50 
1.90,43.90,49.00,54.10,49.00,23.00,3.00,66.00,22.00 
1.95,43.95,49.00,54.05,49.00,23.50,3.00,66.00,22.50 
2.00,44.00,49.00,54.00,49.00,24.00,3.00,66.00,23.00 
2.05,44.05,49.00,53.95,49.00,24.50,3.00,66.00,23.50 
2.10,44.10,49.00,53.90,49.00,25.00,3.00,66.00,24.00 
2.15,44.15,49.00,53.85,49.00,25.50,3.00,65.50,24.00 
2.20,44.20,49.00,53.80,49.00,26.00,3.00,65.00,24.00 
2.25,44.25,49.00,53.75,49.00,26.50,3.00,64.50,24.00 
2.30,44.30,49.00,53.70,49.00,27.00,3.00,64.00,24.00 
2.35,44.35,49.00,53.65,49.00,27.50,3.00,63.50,24.00 
2.40,44.40,49.00,53.60,49.00,28.00,3.00,63.00,24.00 
2.45,44.45,49.00,53.55,49.00,28.50,3.00,62.50,24.00 
2.50,44.50,49.00,53.50,49.00,29.00,3.00,62.00,24.00 
2.55,44.55,49.00,53.45,49.00,29.50,3.00,61.50,24.00 
2.60,44.60,49.00,53.40,49.00,30.00,3.00,61.00,24.00 
2.65,44.65,49.00,53.35,49.00,30.50,3.00,60.50,24.00 
2.70,44.70,49.00,53.30,49.00,31.00,3.00,60.00,24.00 
2.75,44.75,49.00,53.25,49.00,31.50,3.00,59.50,24.00 
2.80,44.80,49.00,53.20,49.00,32.00,3.00,59.00,24.00 
2.85,44.85,49.00,53.15,49.00,32.50,3.00,58.50,24.00 
2.90,44.90,49.00,53.10,49.00,33.00,3.00,58.00,24.00 
2.95,44.95,49.00,53.05,49.00,33.50,3.00,57.50,24.00 
3.00,45.00,49.00,53.00,49.00,34.00,3.00,57.00,24.00 
3.05,45.05,49.00,52.95,49.00,34.50,3.00,56.50,24.00 
3.10,45.10,49.00,52.90,49.00,35.00,3.00,56.00,24.00 
3.15,45.15,49.00,52.85,49.00,35.50,3.00,55.50,24.00 
3.20,45.20,49.00,52.80,49.00,36.00,3.00,55.00,24.00 
3.25,45.25,49.00,52.75,49.00,36.50,3.00,54.50,24.00 
